Name,Age,Team_2122,GP_2122,W_2122,SO_2122,SV_2122,SV%_2122,Yrs,Team_2021,GP_2021,W_2021,SO_2021,SV_2021,SV%_2021,Team_1920,GP_1920,W_1920,SO_1920,SV_1920,SV%_1920,Pos_2122,G_2122,A_2122,PTS_2122,GWG_2122,TOI_2122,SOG_2122,Hits_2122,Blocks_2122,PPG_2122,PPP_2122,Pos_2021,G_2021,A_2021,PTS_2021,GWG_2021,TOI_2021,SOG_2021,Hits_2021,Blocks_2021,PPG_2021,PPP_2021,Pos_1920,G_1920,A_1920,PTS_1920,GWG_1920,TOI_1920,SOG_1920,Hits_1920,Blocks_1920,PPG_1920,PPP_1920,ADP,Pos
CAYDEN PRIMEAU,22,MTL,12,1,0,262,0.868,0,MTL,4,1,0,79,0.849,MTL,2,1,0,67,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MAXIME LAGACE,29,T.B,2,1,0,48,0.828,1,T.B,1,1,1,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
LOUIS DOMINGUE,30,NYR,2,1,0,79,0.952,2,NYR,1,0,0,20,0.87,NYR,17,3,0,382,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ZACH FUCALE,27,WSH,4,1,1,61,0.924,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
COLLIN DELIA,28,VAN,8,1,0,196,0.899,1,VAN,6,1,0,185,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CORY SCHNEIDER,36,,1,1,0,27,0.9,0,,,,,,,,13,3,1,315,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
AARON DELL,33,S.J,12,1,0,316,0.893,1,S.J,7,1,0,132,0.857,S.J,33,12,0,894,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
LUKAS DOSTAL,22,ANA,4,1,0,98,0.907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CAREY PRICE,34,MTL,5,1,0,130,0.878,4,MTL,25,12,1,594,0.901,MTL,58,27,4,1595,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,G
ALEX LYON,29,FLA,2,1,0,59,0.908,1,FLA,6,1,0,151,0.893,FLA,3,1,0,65,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ZACH SAWCHENKO,24,CAR,7,1,0,136,0.901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MAGNUS HELLBERG,31,SEA,1,1,0,20,0.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CONNOR INGRAM,25,NSH,3,1,0,80,0.879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
KEITH KINKAID,33,BOS,1,1,0,29,0.935,1,BOS,9,3,1,184,0.898,BOS,6,1,0,168,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
JUSTUS ANNUNEN,22,COL,2,1,0,44,0.863,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
