"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"MICHAEL HOUSER","","29","L","","2","2","0","0","0","4","77","73","2.00","0.948","1","50.0","120","0","$0.75M","$0.75M","$0.75M"
"UKKO-PEKKA LUUKKONEN","","23","L","BUF","9","2","5","2","0","23","277","254","2.74","0.917","5","55.6","503","0","$0.75M","$0.78M","$0.91M"
"HARRI SATERI","","32","L","","6","2","2","1","0","21","157","136","4.22","0.866","1","16.7","298","0","$0.75M","$0.75M","$0.75M"
"TUUKKA RASK","","35","L","BOS","4","2","2","0","0","14","90","76","4.28","0.844","2","50.0","196","0","$1M","$1M","$1M"
"CAYDEN PRIMEAU","","22","L","MTL","12","1","7","1","0","40","302","262","4.62","0.868","3","25.0","519","0","$0.93M","$0.88M","$0.97M"
"MAXIME LAGACE","","29","L","T.B","2","1","1","0","0","10","58","48","6.11","0.828","0","0.0","98","1","$0.75M","$0.75M","$0.75M"
"LOUIS DOMINGUE","","30","R","NYR","2","1","1","0","0","4","83","79","2.02","0.952","2","100.0","118","2","$0.75M","$0.75M","$0.75M"
"ZACH FUCALE","","27","L","WSH","4","1","1","1","1","5","66","61","1.75","0.924","2","50.0","171","1","$0.75M","$0.75M","$0.75M"
"COLLIN DELIA","","28","L","VAN","8","1","4","1","0","22","218","196","3.85","0.899","2","25.0","343","1","$1.1M","$1M","$1M"
"CORY SCHNEIDER","","36","L","","1","1","0","0","0","3","30","27","3.00","0.900","0","0.0","60","0","$0.75M","$0.75M","$0.75M"
"AARON DELL","","33","L","S.J","12","1","8","1","0","38","354","316","4.03","0.893","2","16.7","565","1","$0.75M","$0.75M","$0.75M"
"LUKAS DOSTAL","","22","L","ANA","4","1","2","0","0","10","108","98","2.98","0.907","2","50.0","201","1","$0.84M","$0.82M","$0.91M"
"CAREY PRICE","","34","L","MTL","5","1","4","0","0","18","148","130","3.63","0.878","3","60.0","297","4","$13M","$10.5M","$10.5M"
"ALEX LYON","","29","L","FLA","2","1","0","1","0","6","65","59","2.93","0.908","1","50.0","122","1","$0.75M","$0.75M","$0.75M"
"ZACH SAWCHENKO","","24","L","CAR","7","1","2","1","0","15","151","136","3.61","0.901","1","14.3","248","1","$0.75M","$0.73M","$0.73M"
"MAGNUS HELLBERG","","31","L","SEA","1","1","0","0","0","3","23","20","3.00","0.870","0","0.0","60","1","$0.8M","$0.8M","$0.8M"
"CONNOR INGRAM","","25","L","NSH","3","1","2","0","0","11","91","80","3.71","0.879","1","33.3","177","1","$0.75M","$0.73M","$0.73M"
"KEITH KINKAID","","33","L","BOS","1","1","0","0","0","2","31","29","2.00","0.935","1","100.0","60","1","$0.9M","$0.83M","$0.83M"
"JUSTUS ANNUNEN","","22","L","COL","2","1","0","1","0","7","51","44","4.34","0.863","0","0.0","96","1","$0.93M","$0.88M","$1.05M"
"MADS SOGAARD","","21","L","OTT","2","1","1","0","0","6","54","48","3.07","0.889","1","50.0","117","0","0","0","0"
"GARRET SPARKS","","29","L","","2","1","0","0","0","3","47","44","1.85","0.936","1","50.0","97","0","$0.75M","$0.75M","$0.75M"
"CALVIN PICKARD","","30","L","EDM","3","1","1","0","0","9","72","63","4.30","0.875","1","33.3","125","2","$0.8M","$0.8M","$0.8M"
"JOEL HOFER","","21","L","STL","2","1","1","0","0","6","50","44","3.07","0.880","0","0.0","117","1","$0.84M","$0.8M","$0.91M"
"ALEX STALOCK","","34","L","CHI","1","0","1","0","0","6","28","22","7.81","0.786","0","0.0","46","1","$0.75M","$0.79M","$0.79M"
"THOMAS HODGES","","27","L","","1","0","1","0","0","1","3","2","3.11","0.667","0","0.0","19","0","0","0","0"
"DANIIL TARASOV","","23","L","CBJ","4","0","2","0","0","7","111","104","2.40","0.937","2","50.0","174","3","$0.93M","$0.93M","$0.93M"
"HUGO ALNEFELT","","21","L","T.B","1","0","0","0","0","3","10","7","9.00","0.700","0","0.0","20","2","$0.84M","$0.85M","$0.93M"
"JOSEF KORENAR","","24","L","ARI","2","0","0","0","0","3","35","32","2.56","0.914","1","50.0","70","0","$0.75M","$0.75M","$0.75M"
"CARTER HUTTON","","36","L","","3","0","2","0","0","15","58","43","7.76","0.741","0","0.0","115","0","$0.75M","$0.75M","$0.75M"
"JOEY DACCORD","","25","L","SEA","5","0","4","0","0","21","140","119","4.30","0.850","0","0.0","293","1","$0.75M","$0.75M","$0.75M"
"IVAN PROSVETOV","","23","L","ARI","3","0","2","1","0","13","104","91","4.22","0.875","1","33.3","185","1","$0.84M","$0.81M","$0.93M"
"MALCOLM SUBBAN","","28","L","BUF","4","0","2","1","0","17","132","115","4.85","0.871","1","25.0","210","1","$0.95M","$0.85M","$0.85M"
"MICHAEL HUTCHINSON","","32","R","VGK","2","0","1","0","0","6","42","36","4.57","0.857","0","0.0","78","1","$0.75M","$0.73M","$0.73M"
"MICHAEL MCNIVEN","","25","L","","1","0","0","0","0","3","7","4","9.00","0.571","0","0.0","20","0","$0.75M","$0.75M","$0.75M"
"PHEONIX COPLEY","","30","L","L.A","2","0","1","0","0","5","41","36","3.11","0.878","1","50.0","96","1","$1.5M","$1.1M","$1.1M"
"AKIRA SCHMID","","22","L","N.J","6","0","4","0","0","19","114","95","4.83","0.833","0","0.0","235","2","$0.84M","$0.85M","$0.93M"
"JACK LAFONTAINE","","24","L","","2","0","1","0","0","9","41","32","7.20","0.780","0","0.0","74","0","$0.84M","$0.91M","$1M"
"ARVID SODERBLOM","","22","L","CHI","3","0","2","0","0","13","95","82","5.01","0.863","0","0.0","155","1","$0.84M","$0.88M","$0.93M"
"FELIX SANDSTROM","","25","L","PHI","5","0","4","1","0","16","177","161","3.23","0.910","1","20.0","297","2","$0.75M","$0.75M","$0.75M"
"MICHAEL DIPIETRO","","23","L","VAN","1","0","1","0","0","3","17","14","3.14","0.824","0","0.0","57","1","$0.8M","$0.81M","$0.91M"
"ADAM HUSKA","","25","L","","1","0","1","0","0","7","39","32","7.04","0.821","0","0.0","59","0","$0.75M","$0.75M","$0.75M"
