"Name","Compare","Pos","Team","GP","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS","G","A","+/-","PIM","PPP","SOG","Hits","Blocks","HIT+BKS","SOG+HIT+BKS"
"RUDOLFS BALCERS","","L","","17","3","2","-1","4","0","24","7","4","11","35","0.18","0.12","-0.06","0.24","0.00","1.41","0.41","0.24","0.65","2.06"
"CARSON SOUCY","","D","VAN","78","3","12","18","68","0","87","143","96","239","326","0.04","0.15","0.23","0.87","0.00","1.12","1.83","1.23","3.06","4.18"
"RASMUS KUPARI","","C","WPG","66","3","12","-5","12","0","53","80","34","114","167","0.05","0.18","-0.08","0.18","0.00","0.80","1.21","0.52","1.73","2.53"
"LUKE GLENDENING","","R","T.B","70","3","3","-9","50","0","65","114","60","174","239","0.04","0.04","-0.13","0.71","0.00","0.93","1.63","0.86","2.49","3.41"
"KARSON KUHLMAN","","R","NYI","47","3","4","-4","8","0","48","41","18","59","107","0.06","0.09","-0.09","0.17","0.00","1.02","0.87","0.38","1.26","2.28"
"NILS HOGLANDER","","L","VAN","25","3","6","-4","6","0","29","21","8","29","58","0.12","0.24","-0.16","0.24","0.00","1.16","0.84","0.32","1.16","2.32"
"ALEC MARTINEZ","","D","VGK","77","3","11","30","29","0","77","48","242","290","367","0.04","0.14","0.39","0.38","0.00","1.00","0.62","3.14","3.77","4.77"
"SIMON BENOIT","","D","TOR","78","3","7","-30","60","0","82","216","128","344","426","0.04","0.09","-0.38","0.77","0.00","1.05","2.77","1.64","4.41","5.46"
"ETHAN BEAR","","D","","61","3","13","5","25","0","75","39","82","121","196","0.05","0.21","0.08","0.41","0.00","1.23","0.64","1.34","1.98","3.21"
"WILL BORGEN","","D","SEA","82","3","17","11","47","0","76","203","89","292","368","0.04","0.21","0.13","0.57","0.00","0.93","2.48","1.09","3.56","4.49"
"LIAM O'BRIEN","","L","ARI","56","3","8","-5","114","0","39","203","28","231","270","0.05","0.14","-0.09","2.04","0.00","0.70","3.63","0.50","4.13","4.82"
